1;10;4.95;49.50;0;0.00;0.00;10;49.50;4.95
2;3;3.16;9.48;0;0.00;0.00;3;9.48;3.16
3;2;6.75;13.50;0;0.00;0.00;2;13.50;6.75
4;9;11.19;100.75;35;15.75;551.25;44;652.00;14.82
5;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
6;0;0.00;0.00;9;37.61;338.50;9;338.50;37.61
7;0;0.00;0.00;2;49.15;98.30;2;98.30;49.15
8;0;0.00;0.00;3;33.65;100.95;3;100.95;33.65
9;84;2.79;234.69;50;2.35;117.50;134;352.19;2.63
10;1;5.00;5.00;0;0.00;0.00;1;5.00;5.00
11;76000;0.09;7093.25;0;0.00;0.00;76000;7093.25;0.09
12;38000;0.08;3002.00;0;0.00;0.00;38000;3002.00;0.08
13;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
14;42000;0.08;3335.77;0;0.00;0.00;42000;3335.77;0.08
15;42000;0.08;3318.00;0;0.00;0.00;42000;3318.00;0.08
16;4000;0.08;320.00;0;0.00;0.00;4000;320.00;0.08
17;72000;0.08;5727.40;0;0.00;0.00;72000;5727.40;0.08
18;50000;0.08;3950.00;0;0.00;0.00;50000;3950.00;0.08
19;50000;0.08;4008.93;0;0.00;0.00;50000;4008.93;0.08
20;38000;0.09;3419.60;0;0.00;0.00;38000;3419.60;0.09
21;22000;0.08;1760.00;0;0.00;0.00;22000;1760.00;0.08
22;33000;0.09;2964.17;0;0.00;0.00;33000;2964.17;0.09
23;15000;0.08;1200.00;0;0.00;0.00;15000;1200.00;0.08
24;50000;0.08;3990.02;0;0.00;0.00;50000;3990.02;0.08
25;35000;0.08;2875.00;0;0.00;0.00;35000;2875.00;0.08
26;40000;0.08;3200.00;0;0.00;0.00;40000;3200.00;0.08
27;25000;0.08;2004.46;0;0.00;0.00;25000;2004.46;0.08
28;30000;0.08;2442.19;0;0.00;0.00;30000;2442.19;0.08
29;34000;0.09;3060.00;0;0.00;0.00;34000;3060.00;0.09
30;34000;0.08;2720.00;0;0.00;0.00;34000;2720.00;0.08
31;20000;0.09;1800.00;0;0.00;0.00;20000;1800.00;0.09
32;28000;0.08;2271.61;0;0.00;0.00;28000;2271.61;0.08
33;34000;0.08;2626.59;0;0.00;0.00;34000;2626.59;0.08
34;21000;0.07;1554.00;0;0.00;0.00;21000;1554.00;0.07
35;63000;0.04;2360.82;0;0.00;0.00;63000;2360.82;0.04
36;8000;0.04;319.91;0;0.00;0.00;8000;319.91;0.04
37;900;0.12;108.00;0;0.00;0.00;900;108.00;0.12
38;191;0.89;169.93;420;0.88;369.60;611;539.53;0.88
39;2;6.45;12.89;20;7.07;141.35;22;154.24;7.01
40;14;0.72;10.05;25;0.65;16.25;39;26.30;0.67
41;1;210.03;210.03;0;0.00;0.00;1;210.03;210.03
42;57;10.00;570.00;75;9.85;738.75;132;1308.75;9.91
43;22;5.56;122.23;0;0.00;0.00;22;122.23;5.56
44;25;4.15;103.75;0;0.00;0.00;25;103.75;4.15
45;87;0.48;42.00;0;0.00;0.00;87;42.00;0.48
46;26;8.49;220.79;25;7.40;185.00;51;405.79;7.96
47;0;0.00;0.00;10;15.50;155.00;10;155.00;15.50
48;200;1.00;200.00;0;0.00;0.00;200;200.00;1.00
49;0;0.00;0.00;2;143.84;287.68;2;287.68;143.84
50;1900;1.56;2963.81;0;0.00;0.00;1900;2963.81;1.56
51;3081;1.17;3600.68;0;0.00;0.00;3081;3600.68;1.17
52;4000;1.22;4880.46;0;0.00;0.00;4000;4880.46;1.22
53;3100;1.65;5100.66;0;0.00;0.00;3100;5100.66;1.65
54;620;1.02;629.30;0;0.00;0.00;620;629.30;1.02
55;1200;1.02;1218.00;0;0.00;0.00;1200;1218.00;1.02
56;2450;1.02;2486.75;0;0.00;0.00;2450;2486.75;1.02
57;4100;1.22;5021.61;0;0.00;0.00;4100;5021.61;1.22
58;1100;1.21;1335.72;0;0.00;0.00;1100;1335.72;1.21
59;2200;1.33;2926.93;0;0.00;0.00;2200;2926.93;1.33
60;3160;1.18;3733.00;0;0.00;0.00;3160;3733.00;1.18
61;1000;0.92;922.00;0;0.00;0.00;1000;922.00;0.92
62;4800;1.23;5923.14;0;0.00;0.00;4800;5923.14;1.23
63;1300;1.21;1573.16;0;0.00;0.00;1300;1573.16;1.21
64;2800;1.20;3362.50;0;0.00;0.00;2800;3362.50;1.20
65;3000;1.25;3758.52;0;0.00;0.00;3000;3758.52;1.25
66;4100;1.23;5022.50;0;0.00;0.00;4100;5022.50;1.23
67;1700;1.92;3264.00;0;0.00;0.00;1700;3264.00;1.92
68;5500;0.10;540.00;0;0.00;0.00;5500;540.00;0.10
69;0;0.00;0.00;10;19.00;190.00;10;190.00;19.00
70;2;60.00;120.00;0;0.00;0.00;2;120.00;60.00
71;1;6.30;6.30;0;0.00;0.00;1;6.30;6.30
72;3;35.50;106.50;0;0.00;0.00;3;106.50;35.50
73;6;3.96;23.76;25;3.20;80.00;31;103.76;3.35
74;5;2.70;13.50;0;0.00;0.00;5;13.50;2.70
75;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
76;9;5.61;50.46;10;4.99;49.90;19;100.36;5.28
77;5;3.43;17.15;0;0.00;0.00;5;17.15;3.43
78;6;7.81;46.87;15;29.80;447.00;21;493.87;23.52
79;6;7.58;45.45;10;9.95;99.50;16;144.95;9.06
80;4;40.77;163.09;15;40.00;600.00;19;763.09;40.16
81;0;0.00;0.00;2;255.00;510.00;2;510.00;255.00
82;450;0.37;167.41;0;0.00;0.00;450;167.41;0.37
83;1500;0.40;592.72;1000;0.38;380.00;2500;972.72;0.39
84;50;0.77;38.34;300;0.74;222.00;350;260.34;0.74
85;200;3.75;750.00;1000;3.75;3750.00;1200;4500.00;3.75
86;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
87;35000;0.10;3325.00;0;0.00;0.00;35000;3325.00;0.10
88;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
89;6950;0.23;1610.19;0;0.00;0.00;6950;1610.19;0.23
90;0;0.00;0.00;1000;0.39;385.00;1000;385.00;0.39
91;0;0.00;0.00;1000;0.39;385.00;1000;385.00;0.39
92;0;0.00;0.00;1000;0.39;385.00;1000;385.00;0.39
93;0;0.00;0.00;1000;0.39;385.00;1000;385.00;0.39
94;0;0.00;0.00;1000;0.39;385.00;1000;385.00;0.39
95;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
96;0;0.00;0.00;2000;0.25;500.00;2000;500.00;0.25
97;2800;0.11;308.00;0;0.00;0.00;2800;308.00;0.11
98;12800;1.23;15720.00;0;0.00;0.00;12800;15720.00;1.23
99;3000;0.15;439.84;0;0.00;0.00;3000;439.84;0.15
100;3100;0.13;403.00;0;0.00;0.00;3100;403.00;0.13
101;5200;0.13;658.70;0;0.00;0.00;5200;658.70;0.13
102;0;0.00;0.00;500;0.33;165.00;500;165.00;0.33
103;14;36.81;515.33;0;0.00;0.00;14;515.33;36.81
104;0;0.00;0.00;1;46.50;46.50;1;46.50;46.50
105;4500;0.45;2025.00;0;0.00;0.00;4500;2025.00;0.45
106;300;0.39;117.00;0;0.00;0.00;300;117.00;0.39
107;2400;0.14;342.84;0;0.00;0.00;2400;342.84;0.14
108;3800;0.45;1704.15;0;0.00;0.00;3800;1704.15;0.45
109;1800;0.40;722.94;0;0.00;0.00;1800;722.94;0.40
110;3800;0.47;1777.50;0;0.00;0.00;3800;1777.50;0.47
111;9450;0.45;4297.50;0;0.00;0.00;9450;4297.50;0.45
112;3000;0.43;1290.00;0;0.00;0.00;3000;1290.00;0.43
113;2823;0.43;1213.89;0;0.00;0.00;2823;1213.89;0.43
114;1353;0.43;575.03;0;0.00;0.00;1353;575.03;0.43
115;90;1.15;103.50;0;0.00;0.00;90;103.50;1.15
116;42;2.19;91.93;0;0.00;0.00;42;91.93;2.19
117;9;2.59;23.29;0;0.00;0.00;9;23.29;2.59
118;54;2.65;142.87;0;0.00;0.00;54;142.87;2.65
119;6;14.92;89.50;10;11.01;110.10;16;199.60;12.47
120;2;7.50;15.00;0;0.00;0.00;2;15.00;7.50
121;1;0.74;0.74;0;0.00;0.00;1;0.74;0.74
122;0;0.00;0.00;8;10.43;83.45;8;83.45;10.43
123;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
124;24;4.78;114.62;0;0.00;0.00;24;114.62;4.78
125;14;8.44;118.13;0;0.00;0.00;14;118.13;8.44
126;10000;0.11;1100.00;0;0.00;0.00;10000;1100.00;0.11
127;9;60.00;540.00;0;0.00;0.00;9;540.00;60.00
128;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
129;5;69.63;348.13;250;23.85;5962.50;255;6310.63;24.75
130;10;15.00;150.00;5;15.90;79.50;15;229.50;15.30
131;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
132;1;140.00;140.00;0;0.00;0.00;1;140.00;140.00
133;1;5.98;5.98;0;0.00;0.00;1;5.98;5.98
134;0;0.00;0.00;3;9.50;28.50;3;28.50;9.50
135;3700;0.07;260.71;0;0.00;0.00;3700;260.71;0.07
136;2500;0.19;483.10;0;0.00;0.00;2500;483.10;0.19
137;11;5.81;63.86;0;0.00;0.00;11;63.86;5.81
138;0;0.00;0.00;50;0.78;38.75;50;38.75;0.78
139;0;0.00;0.00;1;56.00;56.00;1;56.00;56.00
140;15;3.42;51.29;15;3.53;52.95;30;104.24;3.47
141;12;0.90;10.77;25;0.78;19.50;37;30.27;0.82
142;0;0.00;0.00;2;20.00;40.00;2;40.00;20.00
143;0;0.00;0.00;1;50.00;50.00;1;50.00;50.00
144;0;0.00;0.00;8;25.00;200.00;8;200.00;25.00
145;0;0.00;0.00;7;75.00;525.00;7;525.00;75.00
146;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
147;8;5.38;43.03;0;0.00;0.00;8;43.03;5.38
148;400;0.23;92.00;0;0.00;0.00;400;92.00;0.23
149;2125;0.65;1381.25;0;0.00;0.00;2125;1381.25;0.65
150;2550;0.65;1658.97;0;0.00;0.00;2550;1658.97;0.65
151;550;0.18;100.22;0;0.00;0.00;550;100.22;0.18
152;2000;0.20;400.00;0;0.00;0.00;2000;400.00;0.20
153;800;0.12;97.00;0;0.00;0.00;800;97.00;0.12
154;1000;1.60;1600.00;0;0.00;0.00;1000;1600.00;1.60
155;8700;0.11;957.00;0;0.00;0.00;8700;957.00;0.11
156;1200;0.14;169.81;0;0.00;0.00;1200;169.81;0.14
157;7700;0.11;847.04;0;0.00;0.00;7700;847.04;0.11
158;400;0.24;96.00;0;0.00;0.00;400;96.00;0.24
159;5;11.47;57.33;0;0.00;0.00;5;57.33;11.47
160;105;2.14;224.65;0;0.00;0.00;105;224.65;2.14
161;2400;0.12;289.64;0;0.00;0.00;2400;289.64;0.12
162;9;7.25; 65.26 ;0;0.00;0.00;9;65.26;7.25
163;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
164;12;15.50;186.00;0;0.00;0.00;12;186.00;15.50
165;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
166;0;0.00;0.00;5;130.00;650.00;5;650.00;130.00
167;0;0.00;0.00;5;169.00;845.00;5;845.00;169.00
168;0;0.00;0.00;1;165.00;165.00;1;165.00;165.00
169;0;0.00;0.00;3;295.00;885.00;3;885.00;295.00
170;10;5.35;53.50;0;0.00;0.00;10;53.50;5.35
171;4;480.00;1920.00;0;0.00;0.00;4;1920.00;480.00
172;10;455.00;4550.00;0;0.00;0.00;10;4550.00;455.00
173;7;449.92;3149.44;18;475.00;8550.00;25;11699.44;467.98
174;0;0.00;0.00;6;610.00;3660.00;6;3660.00;610.00
175;2;3.53;7.06;75;2.75;206.25;77;213.31;2.77
176;30;18.75;562.56;0;0.00;0.00;30;562.56;18.75
177;2;19.97;39.95;50;20.00;1000.00;52;1039.95;20.00
178;3;16.40;49.19;0;0.00;0.00;3;49.19;16.40
179;9;25.79;232.13;0;0.00;0.00;9;232.13;25.79
180;50;0.85;42.50;0;0.00;0.00;50;42.50;0.85
181;175;0.80;139.22;0;0.00;0.00;175;139.22;0.80
182;264;0.85;224.40;0;0.00;0.00;264;224.40;0.85
